id,source_id,continent_id,country_id,city_id,section_id,category_id,name,address,description,url,image_url
1,paragraph_000015,1,1,1,1,1,Night Hotel Broadway (From $132.00),"215 West 94th Street, Upper West Side, New York, NY 10025, United States","On the Upper West Side of Manhattan and within walking distance of Central Park, this hotel features an on-site fitness room and accommodations with cable TV. Just a short walk away, the 96 St Metro Station provides convenient travel to Lincoln Center, MOMA, Penn Station and Madison Square Garden.
The Night Hotel Broadway at 94th Street 2.7 mi from Times Square, the Broadway Theater District and Rockefeller Center. It is a 20-minute walk away from Columbia University and the American Museum of Natural History.
Guests of the Night Hotel Broadway can enjoy free WiFi in public areas and a full-service business center. The 24/7 front desk can also help plan a tour of the city and arrange for dry cleaning and laundry services.",https://www.booking.com/hotel/us/days-inn-broadway.html,media/image1.jpg
2,paragraph_000023,1,1,1,1,1,"The Mayfair Hotel Times Square, an Ascend Collection (From $160.00)","242 West 49th Street, New York, NY 10019, United States","Located in the heart of Manhattan’s Theater District and just a short walk from world-famous Times Square, is the newly revamped Mayfair Hotel New York City, Ascend Hotel Collection®. Offering excellent value, amenities and service for its Midtown location, our boutique hotel will help you make the most of your NYC experience. Whether you’re here on business or treating yourself to that long overdue vacation, our updated hotel is the ideal place to stay and immerse yourself in the “Crossroads of the World”.",https://www.booking.com/hotel/us/mayfair-new-york.html,media/image2.jpg
3,paragraph_000029,1,1,1,1,1,Conrad New York Downtown (From $561),"102 North End Avenue, Battery Park, New York, NY 10282, United States","With 2000 pieces of artwork on display and an atrium, this all-suite property is located 1640 feet from the World Trade Center.
Each room features a separate living room, 2 flat-screen TVs and an espresso machine. Guests can enjoy views of the Hudson River from some of the suites.
The Atrio Restaurant offers Mediterranean cuisine, while the seasonal rooftop bar serves cocktails alongside a view of the Hudson River. Guests will also have access to the 24-hour fitness center.
For those who enjoy shopping, Brookfield Place is across the street from Conrad New York and Westfield World Trade Center is 2133 feet from the property.",https://www.booking.com/hotel/us/e-suites-new-york-new-york-new-york.html,media/image3.jpg
4,paragraph_000040,1,1,1,1,2,American Dream Guest House (From $150.00),"532 West 48th Street, Hell's Kitchen, New York, NY 10036, United States","Comfortable Accommodations: American Dream Guest House in New York offers a garden and terrace with free WiFi. Each room includes air-conditioning, a private bathroom, and a dining area.
Convenient Facilities: Guests benefit from private check-in and check-out services. Additional amenities include a tea and coffee maker, refrigerator, and free toiletries.
Prime Location: Located in the city center, the property is a 14-minute walk from Times Square and close to Broadway Theater (0.7 mi) and Lincoln Center (1 mi). Nearby attractions include Rockefeller Center and Bryant Park.",https://www.booking.com/hotel/us/american-dream-guest-house.html,media/image4.jpg
5,paragraph_000048,1,1,1,1,2,Interfaith 21st Street (From $247.00),"246 West 21st Street, Chelsea, New York, NY 10011, United States","Comfortable Accommodations: Interfaith 21st Street in New York offers a bed and breakfast with free WiFi, air-conditioning, and garden or city views. Each room includes a wardrobe, hairdryer, and free toiletries.
Delicious Breakfast: Guests can enjoy a continental, vegetarian, or vegan breakfast in the dining area. The property caters to diverse dietary needs, ensuring a pleasant start to the day.
Prime Location: Located less than 0.6 mi from The High Line and Empire State Building, the property is an 11-minute walk from Penn Station. Nearby attractions include Madison Square Garden and Flatiron Building.",https://www.booking.com/hotel/us/interfaith-21st-street.html,media/image5.jpg
6,paragraph_000056,1,1,1,1,2,Harbor House Bed and Breakfast (From $129.00),"1 Hylan Boulevard, Staten Island, NY 10305, United States","Beachfront Location: Harbor House Bed and Breakfast in Staten Island offers direct beachfront access, a lush garden, and a spacious terrace. Guests enjoy free WiFi throughout the property.
Comfortable Accommodations: Rooms feature air-conditioning, private bathrooms with free toiletries, and garden or river views. Additional amenities include a lounge, outdoor seating area, and bicycle parking.
Local Attractions: Located 8.1 mi from Cony Island and 17 mi from Newark Liberty International Airport, the property is near attractions such as the Statue of Liberty and Ellis Island. An ice-skating rink is also nearby.",https://www.booking.com/hotel/us/harbor-house-bed-and-breakfast.html,media/image6.jpg
7,paragraph_000066,1,1,1,1,3,West Side YMCA (From $123.00),"5 West 63rd Street, Upper West Side, New York, NY 10023, United States","Located 164 feet away from Central Park, this hostel is located on Manhattan’s Upper West Side, just 5 minutes’ walk from Columbus Circle. WiFi access is provided free of charge to guests.
A desk, a TV and air conditioning are provided in each room at West Side YMCA.  Linens and towels are included as well. All rooms have access to a shared bathroom down the hall.
A 24-hour front desk welcomes guests to West Side YMCA. The property features a 65000 square-feet fitness center that comes with a  sauna, steam room, weight-lifting and cardiovascular equipment  and 2 indoor swimming pools. There are several free weekly group exercise classes for guests as well. These classes are subject to availability.
Lincoln Center is just 984 feet from the hostel, while Carnegie Hall is 2297 feet away. The American Museum of Natural History is 15 minutes’ walk away.",https://www.booking.com/hotel/us/west-side-ymca.html,media/image7.jpg
8,paragraph_000075,1,1,1,1,3,Nap York Central Park Sleep Station (From $70.00),"940 8th Avenue, New York, NY 10019, United States","Central Location: Nap York Central Park Sleep Station in New York City offers a central location with Broadway Theater a 4-minute walk away, Carnegie Hall 984 feet nearby, and Times Square 0.7 mi from the property.
Comfortable Facilities: Guests enjoy free WiFi, private check-in and check-out services, a lounge, elevator, shared kitchen, daily housekeeping, full-day security, express check-in and check-out, and bike hire.
Comfortable Accommodations: Rooms feature private bathrooms with walk-in showers, air-conditioning, hairdryers, and shared bathrooms. Additional amenities include a elevator, lounge, and shared kitchen.",https://www.booking.com/hotel/us/nap-york-new-york1.html,media/image8.jpg
9,paragraph_000083,1,1,1,1,3,Now Now NoHo (From $145.00),"338 Bowery, NoHo, New York, NY 10012, United States","Comfortable Accommodations: Now Now NoHo in New York offers a 3-star hostel experience with free WiFi, air-conditioning, and bathrobes. Each room includes a hairdryer for added convenience.
Convenient Facilities: Guests benefit from a 24-hour front desk, full-day security, and express check-in and check-out services. The hostel provides a welcoming environment for all travelers.
Prime Location: Located 7 minutes from New York University, less than 0.6 mi from Bloomingdale's, and 1.1 mi from the Flatiron Building. Nearby attractions include the Empire State Building and the High Line. LaGuardia Airport is 8.7 mi away.",https://www.booking.com/hotel/us/now-now-noho.html,media/image9.jpg
10,paragraph_000093,1,1,1,2,4,St. Patricks Cathedral,"St. Patrick’s Cathedral is a catholic cathedral in Midtown Manhattan, New York. It began its construction in 1858 and was completed in the year 1878.",It was dedicated on 25th May 1879. It is the seat of the Archbishop of New York.,https://www.saintpatrickscathedral.org/,media/image10.jpg
